Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,89.97,90.15,89.82,90.05,90.05,0.0
2018-04-03,90.02,90.28,89.85,90.2,90.2,0.0
2018-04-04,90.16,90.23,89.92,90.14,90.14,0.0
2018-04-05,90.09,90.59,90.07,90.46,90.46,0.0
2018-04-06,90.38,90.6,90.07,90.11,90.11,0.0
2018-04-09,90.07,90.27,89.82,89.84,89.84,0.0
2018-04-10,89.83,89.97,89.54,89.59,89.59,0.0
2018-04-11,89.58,89.67,89.36,89.57,89.57,0.0
2018-04-12,89.52,89.96,89.44,89.75,89.75,0.0
2018-04-13,89.76,89.88,89.66,89.8,89.8,0.0
2018-04-16,89.77,89.85,89.39,89.43,89.43,0.0
2018-04-17,89.41,89.67,89.23,89.52,89.52,0.0
2018-04-18,89.51,89.78,89.45,89.62,89.62,0.0
2018-04-19,89.62,89.95,89.5,89.94,89.94,0.0
2018-04-20,89.9,90.48,89.89,90.32,90.32,0.0
2018-04-23,90.32,90.99,90.32,90.94,90.94,0.0
2018-04-24,90.92,91.08,90.71,90.77,90.77,0.0
2018-04-25,90.78,91.26,90.75,91.17,91.17,0.0
2018-04-26,91.21,91.64,90.96,91.56,91.56,0.0
2018-04-27,91.58,91.99,91.49,91.54,91.54,0.0
2018-04-30,91.53,91.92,91.48,91.84,91.84,0.0
2018-05-01,91.81,92.57,91.8,92.45,92.45,0.0
2018-05-02,92.47,92.83,92.22,92.51,92.51,0.0
2018-05-03,92.72,92.76,92.35,92.41,92.41,0.0
2018-05-04,92.43,92.9,92.35,92.57,92.57,0.0
2018-05-07,92.57,92.97,92.45,92.75,92.75,0.0
2018-05-08,92.77,93.28,92.65,93.12,93.12,0.0
2018-05-09,93.07,93.42,92.84,93.04,93.04,0.0
2018-05-10,93.08,93.16,92.54,92.65,92.65,0.0
2018-05-11,92.69,92.84,92.37,92.54,92.54,0.0
2018-05-14,92.55,92.69,92.24,92.59,92.59,0.0
2018-05-15,92.65,93.46,92.61,93.22,93.22,0.0
2018-05-16,93.31,93.63,93.14,93.39,93.39,0.0
2018-05-17,93.26,93.57,93.12,93.47,93.47,0.0
2018-05-18,93.5,93.83,93.34,93.64,93.64,0.0
2018-05-21,93.67,94.06,93.51,93.68,93.68,0.0
2018-05-22,93.54,93.73,93.29,93.61,93.61,0.0
2018-05-23,93.55,94.19,93.51,94.01,94.01,0.0
2018-05-24,93.92,93.98,93.61,93.78,93.78,0.0
2018-05-25,93.8,94.28,93.75,94.19,94.19,0.0
2018-05-29,94.41,95.03,94.28,94.83,94.83,0.0
2018-05-30,94.82,94.97,94.04,94.15,94.15,0.0
2018-05-31,94.07,94.25,93.72,93.99,93.99,0.0
2018-06-01,93.95,94.45,93.88,94.19,94.19,0.0
2018-06-04,94.16,94.2,93.66,94.02,94.02,0.0
2018-06-05,94.06,94.32,93.78,93.89,93.89,0.0
2018-06-06,93.88,93.89,93.42,93.66,93.66,0.0
2018-06-07,93.59,93.59,93.21,93.4,93.4,0.0
2018-06-08,93.44,93.82,93.39,93.55,93.55,0.0
2018-06-11,93.54,93.68,93.37,93.58,93.58,0.0
2018-06-12,93.67,93.91,93.47,93.8,93.8,0.0
2018-06-13,93.83,94.03,93.52,93.71,93.71,0.0
2018-06-14,93.5,94.87,93.19,94.77,94.77,0.0
2018-06-15,94.91,95.13,94.65,94.79,94.79,0.0
2018-06-18,94.79,95.05,94.7,94.75,94.75,0.0
2018-06-19,94.74,95.3,94.53,95.09,95.09,0.0
2018-06-20,94.97,95.3,94.92,95.06,95.06,0.0
2018-06-21,95.13,95.53,94.68,94.87,94.87,0.0
2018-06-22,94.86,94.88,94.43,94.52,94.52,0.0
2018-06-25,94.5,94.7,94.21,94.28,94.28,0.0
2018-06-26,94.29,94.77,94.17,94.68,94.68,0.0
2018-06-27,94.67,95.42,94.53,95.29,95.29,0.0
2018-06-28,95.27,95.53,95.09,95.39,95.39,0.0
2018-06-29,95.3,95.32,94.48,94.63,94.63,0.0
2018-07-02,94.63,95.14,94.53,94.87,94.87,0.0
2018-07-05,94.51,94.59,94.18,94.47,94.47,0.0
2018-07-06,94.36,94.49,93.92,94.04,94.04,0.0
2018-07-09,93.97,94.21,93.71,94.08,94.08,0.0
2018-07-10,94.06,94.48,94.02,94.11,94.11,0.0
2018-07-11,94.2,94.77,94.09,94.72,94.72,0.0
2018-07-12,94.7,94.94,94.64,94.81,94.81,0.0
2018-07-13,94.9,95.24,94.67,94.75,94.75,0.0
2018-07-16,94.69,94.77,94.41,94.51,94.51,0.0
2018-07-17,94.55,95.06,94.3,94.97,94.97,0.0
2018-07-18,95.03,95.41,94.96,95.08,95.08,0.0
2018-07-19,95.08,95.65,94.93,95.17,95.17,0.0
2018-07-20,95.13,95.28,94.36,94.46,94.46,0.0
2018-07-23,94.43,94.72,94.21,94.67,94.67,0.0
2018-07-24,94.67,94.86,94.4,94.61,94.61,0.0
2018-07-25,94.59,94.67,94.14,94.36,94.36,0.0
2018-07-26,94.16,94.78,94.08,94.75,94.75,0.0
2018-07-27,94.76,94.91,94.63,94.68,94.68,0.0
2018-07-30,94.66,94.76,94.26,94.36,94.36,0.0
2018-07-31,94.33,94.57,94.16,94.49,94.49,0.0
2018-08-01,94.56,94.71,94.49,94.62,94.62,0.0
2018-08-02,94.63,95.19,94.61,95.17,95.17,0.0
2018-08-03,95.18,95.37,94.98,95.14,95.14,0.0
2018-08-06,95.2,95.52,95.2,95.36,95.36,0.0
2018-08-07,95.34,95.37,94.99,95.22,95.22,0.0
2018-08-08,95.14,95.42,94.99,95.1,95.1,0.0
2018-08-09,95.1,95.62,95.03,95.5,95.5,0.0
2018-08-10,95.64,96.45,95.53,96.36,96.36,0.0
2018-08-13,95.19,96.52,95.16,96.39,96.39,0.0
2018-08-14,95.17,96.79,95.16,96.73,96.73,0.0
2018-08-15,96.66,96.98,96.65,96.7,96.7,0.0
2018-08-16,96.72,96.77,96.32,96.65,96.65,0.0
2018-08-17,96.61,96.66,96.09,96.1,96.1,0.0
2018-08-20,96.13,96.4,95.77,95.9,95.9,0.0
2018-08-21,95.74,95.75,95.08,95.26,95.26,0.0
2018-08-22,95.21,95.38,94.93,95.15,95.15,0.0
2018-08-23,95.17,95.71,95.15,95.62,95.62,0.0
2018-08-24,95.64,95.69,95.03,95.15,95.15,0.0
2018-08-27,95.17,95.3,94.69,94.78,94.78,0.0
2018-08-28,94.77,94.91,94.43,94.72,94.72,0.0
2018-08-29,94.73,94.93,94.53,94.6,94.6,0.0
2018-08-30,94.53,94.9,94.47,94.72,94.72,0.0
2018-08-31,94.7,95.22,94.55,95.14,95.14,0.0
2018-09-04,95.14,95.74,95.14,95.42,95.42,0.0
2018-09-05,95.4,95.66,95.09,95.13,95.13,0.0
2018-09-06,95.1,95.21,94.93,95.02,95.02,0.0
2018-09-07,95.02,95.46,94.87,95.37,95.37,0.0
