Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,11.75,11.99,11.75,11.87,11.7,419500
2018-04-03,11.76,11.76,11.57,11.59,11.43,281900
2018-04-04,11.71,11.71,11.5,11.5,11.34,288900
2018-04-05,11.44,11.55,11.41,11.55,11.39,602600
2018-04-06,11.65,11.69,11.6,11.64,11.47,241900
2018-04-09,11.62,11.62,11.49,11.52,11.36,218300
2018-04-10,11.56,11.6,11.52,11.55,11.39,161300
2018-04-11,11.69,11.94,11.69,11.81,11.64,615500
2018-04-12,11.71,11.76,11.66,11.69,11.52,393700
2018-04-13,11.75,11.99,11.75,11.9,11.73,464700
2018-04-16,11.93,11.93,11.79,11.85,11.68,360600
2018-04-17,11.82,11.92,11.79,11.85,11.68,88800
2018-04-18,11.96,12.11,11.96,11.98,11.81,419600
2018-04-19,12.0,12.06,11.91,12.03,11.86,174900
2018-04-20,11.98,12.03,11.89,12.01,11.84,551500
2018-04-23,11.93,11.97,11.87,11.91,11.74,124700
2018-04-24,11.92,12.04,11.92,12.02,11.85,167800
2018-04-25,11.94,12.05,11.9,11.95,11.78,132800
2018-04-26,11.92,12.06,11.87,12.01,11.84,267600
2018-04-27,12.0,12.03,11.97,12.0,11.83,119200
2018-04-30,11.94,11.94,11.77,11.79,11.62,291700
2018-05-01,11.77,11.84,11.67,11.84,11.67,147100
2018-05-02,11.9,12.03,11.86,11.89,11.72,161600
2018-05-03,11.96,12.04,11.93,11.95,11.78,116300
2018-05-04,11.92,12.0,11.92,11.98,11.81,99600
2018-05-07,12.0,12.05,11.96,11.98,11.81,161500
2018-05-08,12.0,12.09,11.9,12.08,11.91,428100
2018-05-09,12.04,12.04,11.94,11.96,11.79,500000
2018-05-10,12.02,12.02,11.94,11.98,11.81,152300
2018-05-11,12.0,12.03,11.96,11.99,11.82,92800
2018-05-14,12.01,12.01,11.89,11.94,11.77,453000
2018-05-15,11.8,11.81,11.7,11.75,11.58,368400
2018-05-16,11.74,11.74,11.65,11.67,11.5,213400
2018-05-17,11.7,11.7,11.6,11.64,11.47,176000
2018-05-18,11.63,11.72,11.63,11.7,11.53,156200
2018-05-22,11.64,11.7,11.58,11.59,11.43,321100
2018-05-23,11.59,11.77,11.59,11.73,11.56,324900
2018-05-24,11.77,11.94,11.77,11.94,11.77,246900
2018-05-25,11.94,11.98,11.87,11.89,11.72,266500
2018-05-28,11.94,11.94,11.81,11.82,11.65,34800
2018-05-29,11.78,12.0,11.78,11.89,11.72,181100
2018-05-30,11.87,11.99,11.84,11.9,11.73,75600
2018-05-31,11.93,11.96,11.89,11.9,11.73,234800
2018-06-01,11.83,11.92,11.78,11.85,11.68,148200
2018-06-04,11.86,11.86,11.75,11.77,11.6,152900
2018-06-05,11.82,11.95,11.82,11.87,11.7,212900
2018-06-06,11.89,11.91,11.79,11.89,11.72,208000
2018-06-07,11.93,11.93,11.84,11.86,11.69,147900
2018-06-08,11.83,11.89,11.81,11.83,11.66,105500
2018-06-11,11.8,11.95,11.8,11.95,11.78,253700
2018-06-12,11.95,12.01,11.91,11.99,11.82,289000
2018-06-13,11.97,12.03,11.88,11.95,11.78,247400
2018-06-14,12.02,12.17,12.02,12.15,11.98,313500
2018-06-15,12.04,12.06,11.94,11.99,11.82,565500
2018-06-18,11.98,12.04,11.95,12.0,11.83,234400
2018-06-19,11.91,12.07,11.91,12.02,11.85,232600
2018-06-20,11.99,12.07,11.93,11.97,11.8,230600
2018-06-21,11.91,11.96,11.88,11.9,11.73,275600
2018-06-22,11.92,12.08,11.92,12.03,11.86,222600
2018-06-25,11.92,12.02,11.88,11.9,11.75,207500
2018-06-26,11.84,11.93,11.79,11.92,11.77,187600
2018-06-27,11.89,11.91,11.83,11.89,11.74,153700
2018-06-28,11.83,11.85,11.79,11.82,11.68,133700
