Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Close*,Adj Close**
4/1/2016,1232.30,1235.20,1209.20,1222.20,1222.199951,1602,,,
4/4/2016,1221.70,1222.30,1215.00,1218.00,1218,2038,,,
4/5/2016,1215.40,1236.70,1215.40,1228.40,1228.400024,477,,,
4/6/2016,1230.40,1230.40,1217.60,1222.50,1222.5,248,,,
4/7/2016,1224.80,1242.90,1224.60,1236.20,1236.199951,375,,,
4/8/2016,1241.00,1242.80,1232.00,1242.50,1242.5,409,,,
4/11/2016,1241.50,1258.70,1241.50,1256.70,1256.699951,437,,,
4/12/2016,1260.00,1261.70,1253.70,1259.40,1259.400024,185,,,
4/13/2016,1256.50,1256.90,1241.30,1246.80,1246.800049,203,,,
4/14/2016,1231.40,1243.70,1224.50,1225.00,1225,264,,,
4/15/2016,1225.70,1235.00,1225.70,1233.10,1233.099976,97,,,
4/18/2016,1238.70,1241.10,1232.20,1233.60,1233.599976,304,,,
4/19/2016,1231.60,1256.20,1228.80,1253.00,1253,386,,,
4/20/2016,1256.10,1256.10,1243.00,1253.20,1253.199951,180,,,
4/21/2016,1247.70,1270.60,1247.60,1249.00,1249,124,,,
4/22/2016,1248.50,1248.50,1228.00,1228.70,1228.699951,188,,,
4/25/2016,1231.60,1240.90,1231.60,1238.90,1238.900024,442,,,
4/26/2016,1239.80,1244.20,1233.00,1242.20,1242.199951,97,,,
4/27/2016,1248.60,1249.50,1248.60,1249.20,1249.199951,547,,,
4/28/2016,1245.90,1270.10,1238.50,1265.50,1265.5,887,,,
4/29/2016,1267.30,1295.50,1267.20,1289.20,1289.199951,464,,,
5/2/2016,1292.10,1304.40,1290.40,1294.70,1294.699951,192,,,
5/3/2016,1292.70,1301.50,1284.50,1290.70,1290.699951,151,,,
5/4/2016,1286.90,1290.00,1273.00,1273.30,1273.300049,109,,,
5/5/2016,1282.90,1286.00,1270.80,1271.40,1271.400024,330,,,
