<<<<<<< HEAD:data/etherium.csv
Date,Open,High,Low,Close,Adj Close,Volume,Ticker
4/1/2016,11.4006,11.8504,11.4006,11.6636,11.6636,11373100,eth
4/2/2016,11.6306,11.6888,11.3988,11.5989,11.5989,8682620,eth
4/3/2016,11.6283,11.7064,11.5087,11.6183,11.6183,5580550,eth
4/4/2016,11.6158,11.6158,11.0163,11.1573,11.1573,9599070,eth
4/5/2016,11.2125,11.2125,10.1347,10.4381,10.4381,20557300,eth
4/6/2016,10.4498,10.97,10.2773,10.6854,10.6854,16997100,eth
4/7/2016,10.6952,10.8097,9.95363,10.0697,10.0697,13464500,eth
4/8/2016,10.0774,10.3875,9.65558,9.71959,9.71959,14660600,eth
4/9/2016,9.69423,10.0889,9.06814,9.15062,9.15062,16194800,eth
4/10/2016,9.14985,9.22472,7.45564,8.93634,8.93634,42613400,eth
4/11/2016,8.94278,8.94664,8.00318,8.64379,8.64379,15138100,eth
4/12/2016,8.63947,8.63947,7.15416,7.44231,7.44231,23190100,eth
4/13/2016,7.44136,8.71977,7.06922,8.04442,8.04442,31403300,eth
4/14/2016,8.07517,8.75704,8.02152,8.38724,8.38724,13590700,eth
4/15/2016,8.38606,8.6162,8.09733,8.24278,8.24278,12179000,eth
4/16/2016,8.23588,8.64976,8.11444,8.6095,8.6095,9888460,eth
4/17/2016,8.62319,9.702,8.56078,9.3091,9.3091,24619600,eth
4/18/2016,9.33273,9.50666,8.49687,9.036,9.036,21084100,eth
4/19/2016,9.07533,9.30624,8.59546,8.71488,8.71488,12899100,eth
4/20/2016,8.68819,8.82539,8.31376,8.46579,8.46579,15634700,eth
4/21/2016,8.45346,8.72183,7.96222,8.10217,8.10217,13355400,eth
4/22/2016,8.14992,8.27232,7.66848,7.82126,7.82126,13309300,eth
4/23/2016,7.79183,8.55293,7.73774,8.29479,8.29479,14565200,eth
4/24/2016,8.29343,8.47397,7.95981,8.00135,8.00135,10786400,eth
4/25/2016,8.00777,8.0946,7.23651,7.55434,7.55434,18239900,eth
4/26/2016,7.52655,7.55182,7.05898,7.39704,7.39704,17667300,eth
4/27/2016,7.38839,7.96774,7.31969,7.75997,7.75997,19254500,eth
4/28/2016,7.74069,7.91307,7.1664,7.17253,7.17253,11576000,eth
4/29/2016,7.20703,7.73096,7.17189,7.45729,7.45729,8762080,eth
4/30/2016,7.45391,9.3665,7.45391,8.81398,8.81398,36573300,eth
5/1/2016,8.77508,9.01178,8.43236,8.8465,8.8465,16713800,eth
5/2/2016,8.89424,10.3215,8.85072,10.1632,10.1632,41019200,eth
5/3/2016,10.1651,10.1651,9.2798,9.31127,9.31127,21463900,eth
5/4/2016,9.38287,10.0341,9.26752,9.41377,9.41377,17622400,eth
5/5/2016,9.39673,10.046,9.29212,9.8261,9.8261,18296200,eth
5/6/2016,9.80961,9.95219,9.03701,9.34664,9.34664,21510600,eth
5/7/2016,9.31565,9.47579,9.2121,9.37051,9.37051,10806500,eth
5/8/2016,9.3729,9.5975,8.92686,9.48293,9.48293,15031000,eth
5/9/2016,9.49404,9.64116,9.2037,9.29773,9.29773,13085300,eth
5/10/2016,9.28265,9.47902,9.26136,9.36152,9.36152,9321790,eth
5/11/2016,9.43143,10.0119,9.38926,9.99628,9.99628,15267500,eth
5/12/2016,9.99511,10.5063,9.85641,10.0578,10.0578,24137700,eth
5/13/2016,10.0623,11.0528,10.0184,10.5066,10.5066,31276900,eth
5/14/2016,10.5051,10.615,9.80792,10.2397,10.2397,18808000,eth
5/15/2016,10.2386,10.4445,9.92642,9.96235,9.96235,9218400,eth
5/16/2016,9.9687,11.4403,9.9687,11.1713,11.1713,29079900,eth
5/17/2016,11.1932,12.487,11.1526,12.1988,12.1988,37198700,eth
5/18/2016,12.1793,14.259,12.1793,13.5586,13.5586,65389900,eth
5/19/2016,13.5428,14.8728,13.3376,14.7697,14.7697,53757500,eth
5/20/2016,14.8532,15.0482,13.3842,13.6356,13.6356,50544100,eth
5/21/2016,13.6897,14.0512,13.119,14.015,14.015,24648400,eth
5/22/2016,14.0405,14.3464,13.7658,14.2861,14.2861,17938900,eth
5/23/2016,14.2798,14.4924,13.1922,13.4615,13.4615,23842800,eth
5/24/2016,13.3054,13.7743,12.0141,12.7323,12.7323,41560600,eth
5/25/2016,12.7932,12.8984,11.7666,12.526,12.526,27444700,eth
5/26/2016,12.5161,12.9866,12.0592,12.4304,12.4304,20764000,eth
5/27/2016,12.3894,12.3894,10.5027,11.2958,11.2958,57496400,eth
5/28/2016,11.3332,12.3633,10.3734,11.8929,11.8929,47274800,eth
5/29/2016,12.1122,12.6908,11.7768,12.3504,12.3504,28598400,eth
5/30/2016,12.3253,12.8806,12.2658,12.7253,12.7253,14733800,eth
5/31/2016,12.7435,14.2673,12.6422,14.0773,14.0773,42433400,eth
6/1/2016,14.1098,14.3155,13.4389,14.0015,14.0015,22471300,eth
6/2/2016,13.9917,14.0484,13.6292,13.738,13.738,10477200,eth
6/3/2016,13.7429,13.8738,13.2543,13.8467,13.8467,22981500,eth
6/4/2016,13.8643,13.9454,13.4218,13.7404,13.7404,15792400,eth
6/5/2016,13.7625,14.0722,13.5678,13.975,13.975,11088400,eth
6/6/2016,14.0007,14.0585,13.7349,13.9341,13.9341,8720400,eth
6/7/2016,13.9453,14.512,13.8146,14.512,14.512,21421600,eth
6/8/2016,14.5079,14.7796,14.2752,14.4177,14.4177,16941800,eth
6/9/2016,14.4306,14.5672,14.3402,14.3986,14.3986,8256830,eth
6/10/2016,14.3759,14.4318,13.8207,13.9086,13.9086,11312900,eth
6/11/2016,13.9091,14.1916,13.7203,14.1916,14.1916,12176500,eth
6/12/2016,14.1864,15.9,14.1864,15.7437,15.7437,38210300,eth
6/13/2016,15.7723,17.644199,15.7196,17.602699,17.602699,38023400,eth
6/14/2016,17.612801,19.2735,17.298599,18.8932,18.8932,64412200,eth
6/15/2016,18.9053,18.9053,17.709499,18.3543,18.3543,19393400,eth
6/16/2016,18.362801,20.8297,18.362801,20.5886,20.5886,38531000,eth
6/17/2016,20.6509,21.522699,13.5676,15.3768,15.3768,199408000,eth
6/18/2016,15.3786,15.3786,9.96364,11.3307,11.3307,133937000,eth
6/19/2016,11.1673,13.1821,10.6356,12.2342,12.2342,69783600,eth
6/20/2016,12.2369,12.4483,10.5247,11.8395,11.8395,58143600,eth
6/21/2016,11.8198,13.4204,11.2918,13.3067,13.3067,69245600,eth
6/22/2016,13.1997,15.7856,13.0951,13.0951,13.0951,96994096,eth
6/23/2016,13.2156,13.7911,12.564,13.6762,13.6762,30806400,eth
6/24/2016,13.6821,14.5673,13.2194,14.3321,14.3321,33332900,eth
6/25/2016,14.3028,14.5819,14.017,14.283,14.283,15383100,eth
6/26/2016,14.2611,14.3739,13.6565,13.8502,13.8502,14747600,eth
6/27/2016,13.8082,14.1211,13.7493,13.8839,13.8839,10994700,eth
6/28/2016,13.9276,13.9815,11.718,12.1756,12.1756,43436600,eth
6/29/2016,12.1742,13.038,11.6854,12.6112,12.6112,26982800,eth
6/30/2016,12.6029,12.7419,12.2536,12.4615,12.4615,15801300,eth
7/1/2016,12.4381,12.4913,11.7335,12.1995,12.1995,17236500,eth
7/2/2016,12.216,12.2209,11.9502,12.1284,12.1284,8987070,eth
7/3/2016,12.1208,12.1452,11.5891,11.7202,11.7202,10588700,eth
7/4/2016,11.6961,11.8802,11.3895,11.471,11.471,12943500,eth
7/5/2016,11.4574,11.5178,9.57626,10.6114,10.6114,45526900,eth
7/6/2016,10.5758,11.1056,10.2808,10.5289,10.5289,18137300,eth
7/7/2016,10.5359,10.5658,9.80321,10.1094,10.1094,15407200,eth
7/8/2016,10.1153,11.5248,9.96126,11.3946,11.3946,20039800,eth
7/9/2016,11.4177,11.4567,10.7295,10.9655,10.9655,17254800,eth
7/10/2016,10.9604,11.0137,10.7822,10.9476,10.9476,5479240,eth
7/11/2016,10.9411,11.0093,10.2602,10.459,10.459,13098000,eth
7/12/2016,10.447,10.762,10.4258,10.5161,10.5161,11127700,eth
7/13/2016,10.5066,10.5895,10.4039,10.5005,10.5005,6715660,eth
7/14/2016,10.5969,11.6819,10.5969,11.5132,11.5132,23621900,eth
7/15/2016,11.4991,12.4313,11.49,11.9516,11.9516,26838900,eth
7/16/2016,11.9194,11.9359,11.5924,11.6528,11.6528,10445700,eth
7/17/2016,11.6235,11.6703,11.0074,11.1587,11.1587,17921600,eth
7/18/2016,11.173,11.6101,10.9483,11.0344,11.0344,15931900,eth
7/19/2016,11.0466,12.0139,11.0103,11.6191,11.6191,21730000,eth
7/20/2016,11.5902,12.9914,11.5669,12.4506,12.4506,60226100,eth
7/21/2016,12.4601,12.7103,11.9937,12.6507,12.6507,24636900,eth
7/22/2016,12.6575,14.8134,12.5399,14.6619,14.6619,74779504,eth
7/23/2016,14.6655,14.8989,14.0497,14.2997,14.2997,32489700,eth
7/24/2016,14.2958,14.4374,12.3161,12.7495,12.7495,77750800,eth
7/25/2016,12.7434,13.857,12.6838,13.8361,13.8361,36673800,eth
7/26/2016,13.8161,13.8511,11.7272,11.9895,11.9895,94428800,eth
7/27/2016,12.0505,13.3119,11.8357,12.9728,12.9728,58278800,eth
7/28/2016,12.9791,12.9882,12.4927,12.8436,12.8436,24603900,eth
7/29/2016,12.8364,12.8706,12.5542,12.7946,12.7946,14082300,eth
7/30/2016,12.7974,12.8013,12.461,12.461,12.461,9047810,eth
7/31/2016,12.4397,12.5098,11.5472,11.8759,11.8759,25441400,eth
8/1/2016,11.8948,12.0137,10.9416,10.9416,10.9416,23999500,eth
8/2/2016,10.9485,11.1372,8.20098,8.78728,8.78728,88803296,eth
8/3/2016,8.8768,10.418,8.8768,10.2939,10.2939,53979400,eth
8/4/2016,10.311,11.2912,10.1564,11.0428,11.0428,38151400,eth
8/5/2016,11.019,11.1764,10.7632,10.9254,10.9254,15487900,eth
8/6/2016,10.9167,10.9376,10.2858,10.8811,10.8811,16712600,eth
8/7/2016,10.8592,11.0896,10.78,10.9116,10.9116,16551000,eth
8/8/2016,10.9135,11.3288,10.859,11.2454,11.2454,14956700,eth
8/9/2016,11.2746,12.4546,11.2,12.2443,12.2443,36656600,eth
8/10/2016,12.2298,12.4578,11.9825,12.1432,12.1432,28096300,eth
8/11/2016,12.1382,12.2724,11.6338,11.6909,11.6909,17505000,eth
8/12/2016,11.6889,12.0416,11.6351,11.7785,11.7785,13690100,eth
8/13/2016,11.7704,11.7911,11.5118,11.5713,11.5713,7539490,eth
8/14/2016,11.5833,11.6946,11.0991,11.1948,11.1948,8680160,eth
8/15/2016,11.2017,11.3108,11.0001,11.2184,11.2184,7500840,eth
8/16/2016,11.2287,11.2373,11.0028,11.1397,11.1397,7051510,eth
8/17/2016,11.1332,11.1548,10.7486,10.7528,10.7528,8833760,eth
8/18/2016,10.7475,11.0091,10.7448,10.7561,10.7561,6935800,eth
8/19/2016,10.7463,10.8011,10.7279,10.7487,10.7487,5390850,eth
8/20/2016,10.7501,11.3007,10.7491,11.2474,11.2474,7443540,eth
8/21/2016,11.2533,11.2538,10.9939,11.1792,11.1792,4355660,eth
8/22/2016,11.1851,11.3408,11.075,11.1209,11.1209,6588920,eth
8/23/2016,11.137,11.23,10.898,11.0306,11.0306,6489380,eth
8/24/2016,11.0243,11.1546,11.0095,11.036,11.036,4423420,eth
8/25/2016,11.0313,11.3851,11.0168,11.3574,11.3574,8552380,eth
8/26/2016,11.3524,11.4454,11.2113,11.2954,11.2954,5857850,eth
8/27/2016,11.294,11.294,11.1395,11.1482,11.1482,15108400,eth
8/28/2016,11.147,11.147,10.92,10.9293,10.9293,5303040,eth
8/29/2016,10.9151,11.1462,10.7898,10.9838,10.9838,8130540,eth
8/30/2016,10.9921,11.3036,10.9588,11.2289,11.2289,7221260,eth
8/31/2016,11.2386,11.6802,11.1839,11.6724,11.6724,11073700,eth
9/1/2016,11.6705,12.5815,11.6485,11.9949,11.9949,24051500,eth
9/2/2016,11.9642,12.3133,11.8824,12.113,12.113,9368300,eth
9/3/2016,12.1129,12.3636,11.3472,11.7587,11.7587,13358800,eth
9/4/2016,11.7541,11.7936,11.4739,11.6799,11.6799,7220550,eth
9/5/2016,11.6805,11.8066,11.594,11.717,11.717,5724100,eth
9/6/2016,11.7254,11.7284,11.4728,11.6891,11.6891,6346330,eth
9/7/2016,11.6945,11.7263,11.515,11.5479,11.5479,6115050,eth
9/8/2016,11.5458,11.7014,11.2524,11.3459,11.3459,11535000,eth
9/9/2016,11.4125,11.68,11.3869,11.6528,11.6528,6109200,eth
9/10/2016,11.6623,12.2151,11.5437,12.1685,12.1685,7220300,eth
9/11/2016,12.2079,12.2079,11.5897,11.6384,11.6384,8791180,eth
9/12/2016,11.643,11.947,11.6136,11.8937,11.8937,7478080,eth
9/13/2016,11.8887,12.0856,11.8808,11.9187,11.9187,11704300,eth
