city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Karakol,KG,1612788365,42.4907,78.3936,35.42,78,100,3.31
Darhan,MN,1612788365,49.4867,105.9228,6.44,89,21,2.42
Sassandra,CI,1612788365,4.95,-6.0833,83.14,77,23,6.78
Rantepao,ID,1612788366,-2.9701,119.8978,69.71,89,100,1.7
Jamestown,US,1612788366,42.097,-79.2353,10.0,85,90,4.61
Atuona,PF,1612788366,-9.8,-139.0333,79.43,74,2,21.25
Lamballe,FR,1612788366,48.4676,-2.5144,37.99,84,100,10.92
Faanui,PF,1612788366,-16.4833,-151.75,80.96,76,0,14.99
Cidreira,BR,1612788366,-30.1811,-50.2056,75.25,62,0,6.98
Phibun Mangsahan,TH,1612788366,15.2447,105.2291,84.2,61,20,3.44
Husavik,IS,1612788367,66.0449,-17.3389,32.0,80,75,6.91
Bathsheba,BB,1612788367,13.2167,-59.5167,80.6,61,20,19.57
Otukpo,NG,1612788367,7.1913,8.1329,108.73,15,48,0.85
Vaini,TO,1612788367,-21.2,-175.2,75.2,88,90,13.8
Gunjur,GM,1612788367,13.2019,-16.7339,86.0,21,0,13.8
Mulegé,MX,1612788367,26.8833,-111.9833,56.52,58,0,1.68
Neftegorsk,RU,1612788367,52.802,51.166,-10.8,87,88,10.96
Umluj,SA,1612788367,25.0213,37.2685,77.61,32,0,7.96
Upernavik,GL,1612788289,72.7868,-56.1549,17.98,78,89,6.33
Yellowknife,CA,1612788368,62.456,-114.3525,-36.0,67,20,14.97
Copiapó,CL,1612788078,-27.3667,-70.3333,60.8,82,0,2.3
Waipawa,NZ,1612788368,-41.4122,175.5153,64.4,82,86,18.41
Vila Franca do Campo,PT,1612788368,37.7167,-25.4333,62.01,82,75,21.85
Bredasdorp,ZA,1612788368,-34.5322,20.0403,80.6,47,0,11.5
Punta Arenas,CL,1612788171,-53.15,-70.9167,59.0,47,0,4.61
Ushuaia,AR,1612788369,-54.8,-68.3,57.2,67,0,2.3
Chokurdakh,RU,1612788369,70.6333,147.9167,-11.24,86,5,10.36
Tshela,CD,1612788369,-4.9833,12.9333,86.36,69,60,5.23
Hithadhoo,MV,1612788369,-0.6,73.0833,82.53,79,8,12.33
Atar,MR,1612788369,20.5169,-13.0499,69.8,13,0,11.5
Saskylakh,RU,1612788370,71.9167,114.0833,-32.82,82,36,5.73
Saint-Augustin,CA,1612788370,51.226,-58.6502,25.95,96,100,10.58
Qaanaaq,GL,1612788370,77.484,-69.3632,20.88,82,100,4.97
Kaitangata,NZ,1612788370,-46.2817,169.8464,64.0,90,100,1.99
Torbay,CA,1612788191,47.6666,-52.7314,28.99,100,90,20.71
Pisco,PE,1612788370,-13.7,-76.2167,71.6,88,75,4.61
Tiksi,RU,1612788371,71.6872,128.8694,-26.19,86,99,5.97
Hilo,US,1612788371,19.7297,-155.09,66.2,63,1,6.91
Vardø,NO,1612788371,70.3705,31.1107,23.0,80,75,27.63
Khovd,MN,1612788371,48.0056,91.6419,15.93,87,0,1.86
Avarua,CK,1612788372,-21.2078,-159.775,78.8,94,20,13.8
Rikitea,PF,1612788372,-23.1203,-134.9692,77.2,69,8,10.04
Saint Paul Harbor,US,1612788372,57.79,-152.4072,28.4,74,1,3.44
Kenai,US,1612788372,60.5544,-151.2583,3.99,78,1,5.75
Provideniya,RU,1612788372,64.3833,-173.3,-0.92,83,100,22.28
Thompson,CA,1612788131,55.7435,-97.8558,-25.6,62,90,14.97
Nanortalik,GL,1612788373,60.1432,-45.2371,32.09,88,86,15.9
Otuzco,PE,1612788373,-7.9,-78.5833,64.4,88,75,4.61
Burns Lake,CA,1612788373,54.2331,-125.7533,-5.8,77,94,1.14
Busselton,AU,1612788373,-33.65,115.3333,62.01,88,5,8.95
Port Alfred,ZA,1612788373,-33.5906,26.891,75.99,72,80,5.01
Vila Velha,BR,1612788403,-20.3297,-40.2925,69.8,94,90,5.75
Mount Gambier,AU,1612788403,-37.8333,140.7667,53.6,82,12,9.22
Nikolskoye,RU,1612788403,59.7035,30.7861,14.0,73,0,4.47
Ostrovnoy,RU,1612788404,68.0531,39.5131,2.41,89,99,5.35
Jiangyou,CN,1612788404,31.7667,104.7167,56.48,49,100,2.08
Chui,UY,1612788404,-33.6971,-53.4616,68.85,85,96,5.23
Bengkulu,ID,1612788404,-3.8004,102.2655,79.95,84,100,4.5
Yārāda,IN,1612788404,17.65,83.2667,77.0,53,29,6.91
Grindavik,IS,1612788405,63.8424,-22.4338,33.8,75,0,12.66
Cape Town,ZA,1612788183,-33.9258,18.4232,77.0,57,20,23.02
Kawalu,ID,1612788405,-7.3817,108.2082,74.07,90,100,3.15
Ribeira Grande,PT,1612788405,38.5167,-28.7,62.6,82,75,24.16
Sakakah,SA,1612788137,29.9697,40.2064,68.0,30,0,3.76
Ushumun,RU,1612788405,52.7833,126.5333,-8.18,90,0,8.93
Bluff,NZ,1612788406,-46.6,168.3333,60.26,85,100,13.62
Port Moresby,PG,1612788406,-9.4431,147.1797,78.8,89,40,3.44
Butaritari,KI,1612788406,3.0707,172.7902,81.46,81,100,17.98
Grand Gaube,MU,1612788406,-20.0064,57.6608,84.99,66,0,7.0
Castro,BR,1612788406,-24.7911,-50.0119,67.3,71,0,8.03
Tocopilla,CL,1612788407,-22.092,-70.1979,72.39,64,30,6.04
Albany,US,1612788120,42.6001,-73.9662,14.0,57,75,3.0
Dikson,RU,1612788407,73.5069,80.5464,-29.54,85,90,18.21
Tyret’ Pervaya,RU,1612788407,53.6703,102.3106,12.7,94,0,4.61
Port Elizabeth,ZA,1612788407,-33.918,25.5701,77.0,53,0,25.32
Mataura,NZ,1612788407,-46.1927,168.8643,61.25,76,100,4.85
Vestmannaeyjar,IS,1612788408,63.4427,-20.2734,37.4,81,20,26.46
Paita,PE,1612788408,-5.0892,-81.1144,74.1,71,80,12.33
Caconda,AO,1612788408,-13.7333,15.0667,83.84,31,100,7.0
Bilma,NE,1612788408,18.6853,12.9164,85.23,11,100,11.95
Kidal,ML,1612788408,18.4411,1.4078,87.08,12,94,8.7
